"taxon","protectionscore_no_effectiveness_2024","protectionscore_no_effectiveness_2017","protectioncategory_no_effectiveness_2024","protectioncategory_no_effectiveness_2017","protectionscore_2024","protectionscore_2017","protectioncategory_2024","protectioncategory_2017"
"Antimima peersii",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Antimima ventricosa",4062.5,3926.4,"Well Protected","Well Protected",2031.25,3926.4,"Well Protected","Well Protected"
"Antizoma miersiana",14419.4,13839.7,"Well Protected","Well Protected",6183.25,5562.83,"Well Protected","Well Protected"
"Aptosimum albomarginatum",98307.5,87736.7,"Well Protected","Well Protected",98307.5,87736.7,"Well Protected","Well Protected"
"Aptosimum marlothii",27031.6,10024,"Well Protected","Well Protected",26698.55,9379.51,"Well Protected","Well Protected"
"Arctopus echinatus",65420.4,64945.4,"Well Protected","Well Protected",65420.4,64945.4,"Well Protected","Well Protected"
"Arctotis acaulis",13308.9,12600.5,"Well Protected","Well Protected",13308.9,12600.5,"Well Protected","Well Protected"
"Arctotis canescens",1145.1,1145.7,"Well Protected","Well Protected",1145.1,572.85,"Well Protected","Well Protected"
"Arenifera pillansii",177.85,177.9,"Well Protected","Well Protected",17.785,22.95,"Poorly Protected","Poorly Protected"
"Argyroderma testiculare",88.46,88.48,"Moderately Protected","Moderately Protected",44.23,88.48,"Poorly Protected","Moderately Protected"
"Argyrolobium harmsianum",2248.7,2249.4,"Well Protected","Well Protected",1124.35,318.9,"Well Protected","Well Protected"
"Aristea abyssinica",55494,54017.1,"Well Protected","Well Protected",55494,54017.1,"Well Protected","Well Protected"
"Aristea ecklonii",13311.9,12721.9,"Well Protected","Well Protected",10254.84,7666.84,"Well Protected","Well Protected"
"Aristea ensifolia",4291.5,4296.3,"Well Protected","Well Protected",3292.63,2237.54,"Well Protected","Well Protected"
"Aristea teretifolia",3.6,3.6,"Not Protected","Not Protected",1.8,0.6,"Not Protected","Not Protected"
"Aristida dasydesmis",1049.3,1050,"Well Protected","Well Protected",1049.3,525,"Well Protected","Well Protected"
"Aristida monticola",12789.3,12738.4,"Well Protected","Well Protected",12725.35,6791.15,"Well Protected","Well Protected"
"Aristida recta",108.69,101.25,"Well Protected","Well Protected",106.29,91.872,"Well Protected","Moderately Protected"
"Asclepias densiflora",327.94,327.83,"Well Protected","Well Protected",327.94,327.83,"Well Protected","Well Protected"
"Asclepias woodii",5.12,3.47,"Poorly Protected","Not Protected",2.91,0.536,"Not Protected","Not Protected"
"Askidiosperma andreaeanum",2437.2,2437.5,"Well Protected","Well Protected",1353.95,1210.62,"Well Protected","Well Protected"
"Aspalathus acanthoclada",18.6,19,"Poorly Protected","Poorly Protected",18.6,19,"Poorly Protected","Poorly Protected"
"Aspalathus arida subsp. arida",5502.25,5463,"Well Protected","Well Protected",3248.55,2441.645,"Well Protected","Well Protected"
"Aspalathus bowieana",1522.5,1528.25,"Well Protected","Well Protected",900.055,765.415,"Well Protected","Well Protected"
"Aspalathus calcarea",1467,1467,"Well Protected","Well Protected",733.5,165.74,"Well Protected","Well Protected"
"Aspalathus concava",20,20,"Poorly Protected","Poorly Protected",10,10,"Poorly Protected","Poorly Protected"
"Aspalathus divaricata subsp. gracilior",1417.75,1418.85,"Well Protected","Well Protected",708.875,707.255,"Well Protected","Well Protected"
"Aspalathus incurva",413.9,414,"Well Protected","Well Protected",253.16,206.56,"Well Protected","Well Protected"
"Aspalathus intricata subsp. intricata",6.11,6.11,"Poorly Protected","Poorly Protected",6.11,4.295,"Poorly Protected","Not Protected"
"Aspalathus lanifera",1310.5,1311.8,"Well Protected","Well Protected",667.3,695.05,"Well Protected","Well Protected"
"Aspalathus lotoides subsp. lotoides",295.7,172.15,"Well Protected","Well Protected",176.945,85.375,"Well Protected","Moderately Protected"
"Aspalathus patens",105.152278452027,105.198076482711,"Well Protected","Well Protected",63.9798488664987,52.759331348752,"Moderately Protected","Moderately Protected"
"Aspalathus pinea subsp. caudata",1263.25,1258.6,"Well Protected","Well Protected",631.7,629.585,"Well Protected","Well Protected"
"Aspalathus setacea",24903.4,22958.7,"Well Protected","Well Protected",20594.27,17537.39,"Well Protected","Well Protected"
"Aspalathus steudeliana",41.6,42,"Poorly Protected","Poorly Protected",19,4.72,"Poorly Protected","Not Protected"
"Asparagus concinnus",607.19,64.45,"Well Protected","Moderately Protected",607.19,54.112,"Well Protected","Moderately Protected"
"Asparagus laricinus",112169.815668203,70531.2211981567,"Well Protected","Well Protected",97141.1520737327,52005.7949308756,"Well Protected","Well Protected"
"Asparagus lignosus",1127.74,1098.04,"Well Protected","Well Protected",759.33,337.744,"Well Protected","Well Protected"
"Asparagus multituberosus",2034.99,1946.58,"Well Protected","Well Protected",1631.4,1673.59,"Well Protected","Well Protected"
"Asparagus stipulaceus",84.0353833192923,84.1617523167649,"Moderately Protected","Moderately Protected",69.5355939342881,41.9302864363943,"Moderately Protected","Poorly Protected"
"Asparagus volubilis",4478,4172.95,"Well Protected","Well Protected",3472.45,2898.935,"Well Protected","Well Protected"
"Astridia citrina",3.79446846189906,3.825720089588,"Not Protected","Not Protected",0.379446846189906,1.912860044794,"Not Protected","Not Protected"
"Babiana lineolata",1235.7,1236.5,"Well Protected","Well Protected",647.85,648.25,"Well Protected","Well Protected"
"Babiana radiata",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Bergeranthus addoensis",332.55,332.65,"Well Protected","Well Protected",332.55,332.65,"Well Protected","Well Protected"
"Berkheya rhapontica subsp. aristosa",7127.45,7045.55,"Well Protected","Well Protected",6983.3,3501.2,"Well Protected","Well Protected"
"Berkheya subulata",289442.857142857,242621.428571429,"Well Protected","Well Protected",274529.285714286,156379.285714286,"Well Protected","Well Protected"
"Berkheya viscosa",92.75,93.35,"Moderately Protected","Moderately Protected",46.375,63.065,"Poorly Protected","Moderately Protected"
"Bersama lucens",3567.3,3371.3,"Well Protected","Well Protected",2626.71,2317.53,"Well Protected","Well Protected"
"Bijlia tugwelliae",1205,1206.5,"Well Protected","Well Protected",646.6,917.95,"Well Protected","Well Protected"
"Blepharis capensis",129634.1,44505.2,"Well Protected","Well Protected",129634.1,44505.2,"Well Protected","Well Protected"
"Blepharis spinipes",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Bobartia gracilis",11.6,11.6,"Poorly Protected","Poorly Protected",11.6,11.6,"Poorly Protected","Poorly Protected"
"Bobartia longicyma subsp. magna",5908.6,5884.2,"Well Protected","Well Protected",3067.73,1560.64,"Well Protected","Well Protected"
"Bonatea cassidea",1248.4,854.6,"Well Protected","Well Protected",1097.125,465.88,"Well Protected","Well Protected"
"Brachiaria xantholeuca",98493.6,96702.2,"Well Protected","Well Protected",98493.6,96702.2,"Well Protected","Well Protected"
"Brachycorythis pubescens",1167.3,1075.09,"Well Protected","Well Protected",1109.66,907.584,"Well Protected","Well Protected"
"Breonadia salicina",67543.3526011561,55596.5317919075,"Well Protected","Well Protected",59794.6820809249,33322.8323699422,"Well Protected","Well Protected"
"Bromus pectinatus",463478.678678679,297841.141141141,"Well Protected","Well Protected",463478.678678679,297841.141141141,"Well Protected","Well Protected"
"Brunia microphylla",1929.8,1915.6,"Well Protected","Well Protected",995.01,954.65,"Well Protected","Well Protected"
"Brunia monostyla",90.8858166922683,90.9165386584741,"Moderately Protected","Moderately Protected",52.8417818740399,39.8637992831541,"Moderately Protected","Poorly Protected"
"Brunia pentandra",7499.5,7509.8,"Well Protected","Well Protected",3944.7,4444.6,"Well Protected","Well Protected"
"Brunia trigyna",0.8,0.8,"Not Protected","Not Protected",0.8,0.58,"Not Protected","Not Protected"
"Bulbine asphodeloides",12293,11148,"Well Protected","Well Protected",12293,11130,"Well Protected","Well Protected"
"Bulbine cepacea",11088,10966.5,"Well Protected","Well Protected",6069.25,5650.57,"Well Protected","Well Protected"
"Bulbine lolita",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Bulbine succulenta",3028.75,2939.45,"Well Protected","Well Protected",2064.45,2744.325,"Well Protected","Well Protected"
"Caesia capensis",311.9,312,"Well Protected","Well Protected",227.55,134.04,"Well Protected","Well Protected"
"Caesia contorta",41307.65,40639.85,"Well Protected","Well Protected",27588.28,23167.305,"Well Protected","Well Protected"
"Cannomois arenicola",908.708708708709,910.810810810811,"Well Protected","Well Protected",455.555555555556,317.747747747748,"Well Protected","Well Protected"
"Cannomois parviflora",39360.5,39402.7,"Well Protected","Well Protected",23262.55,22648.12,"Well Protected","Well Protected"
"Cannomois robusta",39400.2,39276.2,"Well Protected","Well Protected",23716.4,24577.42,"Well Protected","Well Protected"
"Capnophyllum africanum",11249.8498498498,9980.18018018018,"Well Protected","Well Protected",11249.8498498498,9980.18018018018,"Well Protected","Well Protected"
"Carex zuluensis",20589.4,15397.7,"Well Protected","Well Protected",20589.4,15397.7,"Well Protected","Well Protected"
"Carissa macrocarpa",10596.4,10110.3,"Well Protected","Well Protected",9868.88,6546.5,"Well Protected","Well Protected"
"Casearia gladiiformis",3037.1,3023.4,"Well Protected","Well Protected",1528.95,2222.17,"Well Protected","Well Protected"
"Cassine peragua subsp. barbara",4404.8,4331.4,"Well Protected","Well Protected",3464.29,849.23,"Well Protected","Well Protected"
"Cassinopsis tinifolia",870.1,696,"Well Protected","Well Protected",724.8,457.61,"Well Protected","Well Protected"
"Cassipourea malosana",9754.8,8379.3,"Well Protected","Well Protected",6806.87,7045.88,"Well Protected","Well Protected"
"Cassytha pondoensis",352.5,352.9,"Well Protected","Well Protected",352.5,349.125,"Well Protected","Well Protected"
"Catalepis gracilis",12194.9,12274.1,"Well Protected","Well Protected",12194.9,12274.1,"Well Protected","Well Protected"
"Catophractes alexandri",4869.2,4880.8,"Well Protected","Well Protected",4379.7,3217.38,"Well Protected","Well Protected"
"Celosia trigyna",19273.3,18008.1,"Well Protected","Well Protected",19273.3,18008.1,"Well Protected","Well Protected"
"Celtis mildbraedii",24.16,24.12,"Poorly Protected","Poorly Protected",16.882,13.481,"Poorly Protected","Poorly Protected"
"Centella glabrata",78844,78117.5,"Well Protected","Well Protected",49206.69,40442.26,"Well Protected","Well Protected"
"Centella thesioides",1658.9,1659.1,"Well Protected","Well Protected",1405.2,829.55,"Well Protected","Well Protected"
"Cephalaria rigida",975.5,983.1,"Well Protected","Well Protected",487.21,445.83,"Well Protected","Well Protected"
"Cephalophyllum purpureo-album",1472.7,1391.1,"Well Protected","Well Protected",1456.6,1129.35,"Well Protected","Well Protected"
"Ceropegia angustata",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Ceropegia arnotii",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Ceropegia articulata subsp. namaquensis",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Ceropegia atrosanguinea",186,99.1,"Well Protected","Moderately Protected",186,99.1,"Well Protected","Moderately Protected"
"Ceropegia blyderiverensis",27.6,27.6,"Poorly Protected","Poorly Protected",27.6,27.6,"Poorly Protected","Poorly Protected"
"Ceropegia clavicorona",105.1,93.8,"Well Protected","Moderately Protected",99.45,46.9,"Moderately Protected","Poorly Protected"
"Ceropegia cupulata",10,10,"Poorly Protected","Poorly Protected",10,1,"Poorly Protected","Not Protected"
"Ceropegia dwequensis",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Ceropegia filifolia",149.17,148.6,"Well Protected","Well Protected",142.219,81.944,"Well Protected","Moderately Protected"
"Ceropegia herrei",6014.5,6014.8,"Well Protected","Well Protected",601.45,1215.73,"Well Protected","Well Protected"
"Ceropegia inversa",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Ceropegia neocompta",0.2,0.18,"Not Protected","Not Protected",0.195,0.18,"Not Protected","Not Protected"
"Ceropegia obducta",20,20,"Poorly Protected","Poorly Protected",20,20,"Poorly Protected","Poorly Protected"
"Ceropegia oiantha",113.41,105.46,"Well Protected","Well Protected",16.579,23.822,"Poorly Protected","Poorly Protected"
"Ceropegia perlata",7978.2,7982.5,"Well Protected","Well Protected",797.82,2758.93,"Well Protected","Well Protected"
"Ceropegia rendallii",2322.35,2098.52,"Well Protected","Well Protected",1693.189,1378.453,"Well Protected","Well Protected"
"Ceropegia thudichumii",1125.79,1126.13,"Well Protected","Well Protected",1125.68,1112.66,"Well Protected","Well Protected"
"Ceropegia villosa",506.75,0,"Well Protected","Not Protected",491.65,0,"Well Protected","Not Protected"
"Chaenostoma calycinum",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Chaenostoma halimifolium",138040.8,49544.1,"Well Protected","Well Protected",136538.9,43746.02,"Well Protected","Well Protected"
"Chaenostoma titanophilum",88.646288209607,88.646288209607,"Moderately Protected","Moderately Protected",44.3231441048035,8.8646288209607,"Poorly Protected","Poorly Protected"
"Chamaecrista mimosoides",3460944.68085106,3113814.89361702,"Well Protected","Well Protected",3460944.68085106,3113814.89361702,"Well Protected","Well Protected"
"Chascanum cernuum",3299.15,3304.35,"Well Protected","Well Protected",1976.615,866.315,"Well Protected","Well Protected"
"Cheilanthes contracta",100926.5,81096,"Well Protected","Well Protected",74788.89,52321.5,"Well Protected","Well Protected"
"Cheilanthes namaquensis",118.55,118.61,"Well Protected","Well Protected",109.855,108.243,"Well Protected","Well Protected"
"Cheilanthes parviloba",23283.45,15450.7,"Well Protected","Well Protected",20677.525,12025.645,"Well Protected","Well Protected"
"Chenopodium mucronatum",100723.1,29858.2,"Well Protected","Well Protected",100723.1,29858.2,"Well Protected","Well Protected"
"Chironia krebsii",37123,32100,"Well Protected","Well Protected",34322.52,18315.24,"Well Protected","Well Protected"
"Chironia palustris subsp. transvaalensis",15027.2,13006.8,"Well Protected","Well Protected",8979.49,6820.87,"Well Protected","Well Protected"
"Chlorophytum aridum",442.16,442.98,"Well Protected","Well Protected",442.16,442.98,"Well Protected","Well Protected"
"Chrysocoma acicularis",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Chrysocoma strigosa",1008.75,1008.95,"Well Protected","Well Protected",504.375,136.635,"Well Protected","Well Protected"
"Chrysocoma tridentata",677.74,677.82,"Well Protected","Well Protected",570.755,302.744,"Well Protected","Well Protected"
"Cissus cactiformis",98195.1,93964.45,"Well Protected","Well Protected",98195.1,93964.45,"Well Protected","Well Protected"
"Cleistanthus schlechteri",2357.3,2240.75,"Well Protected","Well Protected",1375.075,819.535,"Well Protected","Well Protected"
"Clematis villosa subsp. stanleyi",39832.1321321321,39281.6816816817,"Well Protected","Well Protected",39832.1321321321,39281.6816816817,"Well Protected","Well Protected"
"Cleome monophylla",637873.273273273,578419.81981982,"Well Protected","Well Protected",637873.273273273,578419.81981982,"Well Protected","Well Protected"
"Cliffortia dentata",237.25,237.28,"Well Protected","Well Protected",119.21,118.572,"Well Protected","Well Protected"
"Cliffortia hexandra",2110.05,2111.05,"Well Protected","Well Protected",1213.175,1044.265,"Well Protected","Well Protected"
"Cliffortia odorata",24498.7,24525.5,"Well Protected","Well Protected",14627.8,11933.82,"Well Protected","Well Protected"
"Cliffortia propinqua",11179.35,11133.35,"Well Protected","Well Protected",6191.325,5686.44,"Well Protected","Well Protected"
"Cliffortia robusta",238.2,238.3,"Well Protected","Well Protected",146.775,119.325,"Well Protected","Well Protected"
"Cliffortia strigosa",100.349854227405,100.349854227405,"Well Protected","Well Protected",50.1749271137026,50.1749271137026,"Moderately Protected","Moderately Protected"
"Cliffortia virgata",1815.8,1816.25,"Well Protected","Well Protected",1068.95,851.76,"Well Protected","Well Protected"
"Coccinia mackenii",7040.2,6385.9,"Well Protected","Well Protected",7040.2,6385.9,"Well Protected","Well Protected"
"Codonorhiza fastigiata",355.4,132.5,"Well Protected","Well Protected",177.7,70.55,"Well Protected","Moderately Protected"
"Codon schenckii",719.47,719.6,"Well Protected","Well Protected",71.947,71.96,"Moderately Protected","Moderately Protected"
"Colchicum coloratum subsp. burchellii",8805.7,8657.5,"Well Protected","Well Protected",8422.2,8657.5,"Well Protected","Well Protected"
"Coleonema pulchrum",216.74,216.8,"Well Protected","Well Protected",154.83,118.588,"Well Protected","Well Protected"
"Coleus venteri",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Combretum nelsonii",4693.2,2115.7,"Well Protected","Well Protected",4635.7,1514.05,"Well Protected","Well Protected"
"Combretum patelliforme",5722.6,5695.8,"Well Protected","Well Protected",5477.25,2714.09,"Well Protected","Well Protected"
"Commicarpus helenae",39249.1,37719.35,"Well Protected","Well Protected",39249.1,37719.35,"Well Protected","Well Protected"
"Commiphora viminea",7695.85,6312.8,"Well Protected","Well Protected",6819.97,3984.185,"Well Protected","Well Protected"
"Conophytum francoiseae",83.100167879127,83.100167879127,"Moderately Protected","Moderately Protected",8.3100167879127,83.100167879127,"Poorly Protected","Moderately Protected"
"Conophytum irmae",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Conophytum minutum",35318.3183183183,35013.5135135135,"Well Protected","Well Protected",12256.6066066066,34962.9129129129,"Well Protected","Well Protected"
"Conophytum pellucidum subsp. saueri",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Conophytum praesectum",230.7,0,"Well Protected","Not Protected",230.7,0,"Well Protected","Not Protected"
"Conophytum rugosum",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Conophytum stevens-jonesianum",6204.2,6204.7,"Well Protected","Well Protected",620.42,620.47,"Well Protected","Well Protected"
"Convolvulus dregeanus",46325.6,8964.6,"Well Protected","Well Protected",46325.6,8964.6,"Well Protected","Well Protected"
"Cotula discolor",694.894894894895,695.495495495495,"Well Protected","Well Protected",289.129129129129,343.303303303303,"Well Protected","Well Protected"
"Crassocephalum rubens",19.2192192192192,19.2192192192192,"Poorly Protected","Poorly Protected",19.2192192192192,19.2192192192192,"Poorly Protected","Poorly Protected"
"Crassothonna rechingeri",3376.65,3367.55,"Well Protected","Well Protected",2747.5,3365.85,"Well Protected","Well Protected"
"Crassula alba",549006.086956522,516183.47826087,"Well Protected","Well Protected",504824.739130435,373939.086956522,"Well Protected","Well Protected"
"Crassula alstonii",1007.9,964.1,"Well Protected","Well Protected",140.93,964.1,"Well Protected","Well Protected"
"Crassula arborescens subsp. arborescens",8158.4,7960.5,"Well Protected","Well Protected",5260.24,5869.63,"Well Protected","Well Protected"
"Crassula capensis",52155.1,51683.5,"Well Protected","Well Protected",30028.94,29201.8,"Well Protected","Well Protected"
"Crassula latibracteata",27.45,27.15,"Poorly Protected","Poorly Protected",27.45,23.025,"Poorly Protected","Poorly Protected"
"Crassula muricata",418.59,418.69,"Well Protected","Well Protected",363.045,317.295,"Well Protected","Well Protected"
"Crassula muscosa",321760,223970.5,"Well Protected","Well Protected",248493.55,155391.51,"Well Protected","Well Protected"
"Crassula pruinosa",146.8,145.65,"Well Protected","Well Protected",68.465,72.505,"Moderately Protected","Moderately Protected"
"Crassula sediflora",63.65,45.25,"Moderately Protected","Poorly Protected",31.825,22.625,"Poorly Protected","Poorly Protected"
"Crassula setulosa",58614.4624903326,41363.4957463264,"Well Protected","Well Protected",48742.2583139985,32173.6349574633,"Well Protected","Well Protected"
"Crassula subacaulis subsp. subacaulis",2387,2387,"Well Protected","Well Protected",238.7,238.7,"Well Protected","Well Protected"
"Crassula subulata",60592,59685.5,"Well Protected","Well Protected",38434.69,32345.03,"Well Protected","Well Protected"
"Crassula susannae",4955,4955,"Well Protected","Well Protected",495.5,4955,"Well Protected","Well Protected"
"Cromidon minutum",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Crotalaria excisa subsp. namaquensis",9976,9267.1,"Well Protected","Well Protected",9976,9267.1,"Well Protected","Well Protected"
"Crotalaria humilis",10792.1,10062.5,"Well Protected","Well Protected",5354.28,8959.48,"Well Protected","Well Protected"
"Crotalaria podocarpa",21546.6,13517.4,"Well Protected","Well Protected",21546.6,13517.4,"Well Protected","Well Protected"
"Crystallopollen angustifolium",61036.527621195,48648.365276212,"Well Protected","Well Protected",61036.527621195,48648.365276212,"Well Protected","Well Protected"
"Cucumis rigidus",17685.2,17196.1,"Well Protected","Well Protected",17685.2,17196.1,"Well Protected","Well Protected"
"Cyclopia burtonii",26.9,26.9,"Poorly Protected","Poorly Protected",17.7,6.09,"Poorly Protected","Poorly Protected"
"Cylindrophyllum calamiforme",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Cymbopogon prolixus",138316.1,98535.6,"Well Protected","Well Protected",114974.61,66648,"Well Protected","Well Protected"
"Cynanchum gerrardii",11162.05,9214.2,"Well Protected","Well Protected",11095.32,8963.025,"Well Protected","Well Protected"
"Cynanchum viminale subsp. orangeanum",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Cynanchum zeyheri",229.53,229.79,"Well Protected","Well Protected",115.776,114.071,"Well Protected","Well Protected"
"Cyperus indecorus",86192.2,79655,"Well Protected","Well Protected",84755.69,75035.75,"Well Protected","Well Protected"
"Cyperus zollingeri",10360,6875.1,"Well Protected","Well Protected",10360,6875.1,"Well Protected","Well Protected"
"Cyphia elata",61957.1153846154,51786.6346153846,"Well Protected","Well Protected",55196.9038461539,36837.875,"Well Protected","Well Protected"
"Cyphia stenopetala",7186.8,5447.1,"Well Protected","Well Protected",4680.78,3196.72,"Well Protected","Well Protected"
"Cyphostemma rubroglandulosum",10.2623101702715,10.273815002301,"Poorly Protected","Poorly Protected",8.34387942936033,6.38057984353428,"Poorly Protected","Poorly Protected"
"Cyrtanthus herrei",23.72,23.72,"Poorly Protected","Poorly Protected",2.372,2.372,"Not Protected","Not Protected"
"Cyrtanthus labiatus",30,30,"Poorly Protected","Poorly Protected",20,20,"Poorly Protected","Poorly Protected"
"Cyrtanthus nutans",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Cyrtomium pseudocaryotideum",407,287.2,"Well Protected","Well Protected",351.25,257.23,"Well Protected","Well Protected"
"Dahlgrenodendron natalense",3.23,3,"Not Protected","Not Protected",2.793,2.218,"Not Protected","Not Protected"
